name,address,type,latitude,longitude,phone,website,is_service_area_only,containing_places,rating,reviews,opening_hours,place_id
Wings and More Place,"7455 S Westmoreland Rd, Dallas, TX 75237, USA",american_restaurant,32.6555416,-96.8860425,(214) 779-7097,http://wingsandmoreplace.com/,False,,4.3,2098,Monday: 10:30 AM – 10:00 PM | Tuesday: 10:30 AM – 10:00 PM | Wednesday: 10:30 AM – 10:00 PM | Thursday: 10:30 AM – 10:00 PM | Friday: 10:30 AM – 11:00 PM | Saturday: 10:30 AM – 11:00 PM | Sunday: Closed,ChIJXaYKDq-RToYRiz2wpHm5v-U
Taqueria Garcia´S,"7500 S Westmoreland Rd, Dallas, TX 75237, USA",mexican_restaurant,32.6544095,-96.885296,(214) 466-3879,http://www.taqueriagarcias.com/,False,,4.4,27,Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 8:00 PM | Saturday: 7:00 AM – 8:00 PM | Sunday: 9:00 AM – 5:00 PM,ChIJbyzJUruRToYRAoOxvJgVUlw
Taqueria El Arquito,"7500 S Westmoreland Rd, Dallas, TX 75237, USA",mexican_restaurant,32.6542556,-96.8852872,(469) 250-7307,https://www.taqueriaelarquito.com/,False,,4.4,309,Monday: 6:00 AM – 11:00 PM | Tuesday: 6:00 AM – 11:00 PM | Wednesday: 6:00 AM – 11:00 PM | Thursday: 6:00 AM – 11:00 PM | Friday: 6:00 AM – 11:00 PM | Saturday: 6:00 AM – 11:00 PM | Sunday: 7:00 AM – 11:00 PM,ChIJhVZui7yRToYREImgUQKEX3o
The Monet,"3900 Investor Dr, Dallas, TX 75237, USA",apartment_complex,32.6588911,-96.8848483,(888) 302-7858,https://www.themonetapartments.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=gmb&utm_medium=organic,False,,3.8,350,Monday: 9:30 AM – 6:00 PM | Tuesday: 9:30 AM – 6:00 PM | Wednesday: 9:30 AM – 6:00 PM | Thursday: 9:30 AM – 6:00 PM | Friday: 9:30 AM – 6:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: Closed,ChIJ_y-nmK6RToYR650E8SAXZrw
Southwest Workforce Center,"3560 W Camp Wisdom Rd #110, Dallas, TX 75237, USA",employment_agency,32.6582187,-96.8777901,(972) 709-5377,http://www.wfsdallas.com/find-center,False,,3.8,164,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,ChIJs7e2X6mRToYR0A8L3jrwJz4
The DEC Network,"3560 W Camp Wisdom Rd Ste 200, Dallas, TX 75237, USA",non_profit_organization,32.6581966,-96.87748979999999,,https://thedec.co/,False,,4.6,121,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,ChIJ52ICIhaZToYRhrVpgH2JmIs
GIZA Printing Company - Red Bird,"3560 W Camp Wisdom Rd Ste 200, Dallas, TX 75237, USA",service,32.6582499,-96.8775375,(214) 744-3712,http://www.gizaprint.com/,False,,,,,ChIJ-cAZOUWRToYRjDvKSL0wlqA
It’s Everything Plus,"3560 W Camp Wisdom Rd Ste 200, Dallas, TX 75237, USA",consultant,32.6582473,-96.87747999999999,(469) 655-1363,http://itseverythingplus.com/,False,,5,2,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,ChIJv42XBwCRToYR5bQu83GLQMs
Nivo Solar,"3560 S Westmoreland Rd, Dallas, TX 75237, USA",service,32.658312099999996,-96.8774213,(888) 969-6486,http://mynivohome.com/,False,,3,4,,ChIJJ5l2RgCRToYR9iSmW1aSdgE
Southern Dallas Link,"3560 W Camp Wisdom Rd, Dallas, TX 75237, USA",point_of_interest,32.6583908,-96.8775459,(469) 818-7209,,False,,,,,ChIJcwkFWweRToYRl2dnS_8bKX0
Memography,"3560 W Camp Wisdom Rd, Dallas, TX 75237, USA",medical_clinic,32.6583908,-96.8775459,,,False,,,,,ChIJdw_AMwCRToYRiWYr2WmR-io
DirectX MGT Inc,"3560 W Camp Wisdom Rd, Dallas, TX 75237, USA",service,32.6583908,-96.8775459,(214) 971-3534,https://directxmgt.com/,False,,4,4,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,ChIJEX4ecLORToYRqVSqi5Xq1-c
GoexTele Communications Software & Technology,"3560 W Camp Wisdom Rd Ste 200, Dallas, TX 75237, USA",telecommunications_service_provider,32.6583908,-96.8775459,,http://www.goextele.com/,False,,5,1,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 10:00 AM – 2:00 PM | Sunday: Closed,ChIJqSMNDCiRToYRwWQYqALUqO0
Pariss United LLC,"3560 W Camp Wisdom Rd, Dallas, TX 75237, USA",consultant,32.6583908,-96.8775459,(817) 806-8188,https://www.parissunited.com/,False,,,,,ChIJ4Wg5a5WRToYRmttPpVZHACI
New Beginners Preparatory,"7441 Marvin D. Love Fwy #300, Dallas, TX 75237, USA",school,32.6575534,-96.8759152,(214) 375-8000,http://www.nbcprep.org/,False,,,,Monday: 10:00 AM – 4:00 PM | Tuesday: 10:00 AM – 4:00 PM | Wednesday: 10:00 AM – 4:00 PM | Thursday: 10:00 AM – 4:00 PM | Friday: Closed | Saturday: Closed | Sunday: Closed,ChIJ66GBBLSQToYR9a9pDU4KXWg
"LifeStyle Education Center, LLC ""Familias-con-Salud""","7441 Marvin D. Love Fwy #206, Dallas, TX 75237, USA",educational_institution,32.6575734,-96.8759106,(817) 721-6355,http://www.familiasconsalud.com/,False,,,,,ChIJm1CkmqSRToYRQfr1z3l98n4
iMed Health Training,"7441 Marvin D. Love Fwy #401, Dallas, TX 75237, USA",educational_institution,32.6575734,-96.8759106,(972) 808-7976,http://imedhealthtraining.com/,False,,4.5,35,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: Closed | Sunday: Closed,ChIJXwVBBQeRToYR6VVB4kxv94U
AARP Foundation SCSEP,"3560 W Camp Wisdom Rd Suite. 110, Dallas, TX 75237, USA",non_profit_organization,32.658519999999996,-96.87841999999999,(855) 850-2525,https://my.aarpfoundation.org/locator/scsep/,False,,1,1,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,ChIJLfrGhLORToYRRUdvINoxlGs
Parkland Clinic,"3560 W Camp Wisdom Rd Ste 200, Dallas, TX 75237, USA",medical_clinic,32.658547299999995,-96.8774005,,,False,,5,1,,ChIJT2IAYwCRToYRmyXnrOg78W8
"Law Offices of Glenn D. Tucker, Sr.","7441 Marvin D. Love Fwy #400, Dallas, TX 75237, USA",lawyer,32.6575641,-96.8758359,(214) 358-6550,http://www.glenndtucker.com/,False,,4.1,31,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,ChIJ2T9a-MiRToYRoOEiJeCMVDE
C.V. Roman Health Center,"3560 W Camp Wisdom Rd Ste 100, Dallas, TX 75237, USA",medical_clinic,32.658616699999996,-96.87781590000002,(214) 266-5000,https://www.parklandhealth.org/locations/cv-roman-health-center-206,False,,3.9,68,Monday: 7:30 AM – 6:00 PM | Tuesday: 7:30 AM – 6:00 PM | Wednesday: 7:30 AM – 6:00 PM | Thursday: 7:30 AM – 6:00 PM | Friday: 7:30 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,ChIJN3wmmK6RToYRtpSd3jvbRh8
Gentile Philip A,"7441 Marvin D. Love Fwy Su, Dallas, TX 75237, USA",health,32.657607299999995,-96.8758558,(214) 330-2222,,False,,,,,ChIJq6qqqv6QToYRVddOmzqduVU
6/28 Boutique,"7441 Marvin D. Love Fwy, Dallas, TX 75237, USA",store,32.6576072,-96.8758557,(214) 336-1297,https://628boutique.com/,False,,,,,ChIJ0ysq1leRToYR8Wq4aFPge6Y
I Just Got My CDL Training Academy,"7441 Marvin D. Love Fwy, Dallas, TX 75237, USA",point_of_interest,32.6576072,-96.8758557,(972) 808-7976,https://ijustgotmycdl.com/contact-us,False,,,,,ChIJN6PjBAeRToYRASGB2TSoncU
Where It’s At Beauty Bar & More,"7441 Marvin D. Love Fwy #206, Dallas, TX 75237, USA",store,32.6576072,-96.8758557,(469) 806-9057,,False,,5,2,Monday: Closed | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: Closed,ChIJT4PJtc6XToYRTfURTdCEZRU
Chancellor Jewelers Inc,"7441 Marvin D. Love Fwy #100, Dallas, TX 75237, USA",jewelry_store,32.657536,-96.87579900000001,(972) 296-0783,,False,,4.8,12,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: Closed,ChIJN6PjBAeRToYRPPbCouWUU8M
Muhimu Oils Wellness Center,"3560 W Camp Wisdom Rd Ste 200, Dallas, TX 75237, USA",store,32.6587566,-96.8774576,(945) 240-6989,https://muhimuoilsonline.com/,False,,5,4,Monday: Closed | Tuesday: 10:00 AM – 2:00 PM | Wednesday: Closed | Thursday: 10:00 AM – 2:00 PM | Friday: Closed | Saturday: Closed | Sunday: Closed,ChIJmRVeYAmRToYRzi-qQCGprSQ
The Justice System,"3662 W Camp Wisdom Rd, Dallas, TX 75237, USA",store,32.6588084,-96.8791868,(469) 336-7142,,False,,,,,ChIJ94PO4XqRToYRvVIyg1_Rlbo
Jewelry King,"3662 W Camp Wisdom Rd #1030, Dallas, TX 75237, USA",jewelry_store,32.6591515,-96.8778222,(469) 372-7524,,False,,,,,ChIJ6fLCVgeRToYRd0d-c3F1sf8
Burlington,"7465 Marvin D. Love Fwy, Dallas, TX 75237, USA",clothing_store,32.659013099999996,-96.8766593,(972) 283-4433,https://www.burlington.com/stores/tx/dallas/373?utm_source=google&utm_medium=organic&utm_campaign=maps,False,,,,,ChIJpXvOZqqRToYRxNvHorOzoqo
Electro Wireless,"3662 W Camp Wisdom Rd #1044, Dallas, TX 75237, USA",cell_phone_store,32.6592479,-96.8774121,(972) 572-6600,,False,,,,,ChIJQ3vOZqqRToYRfIi6gS5-Y6Y
ML Wireless,"3662 W Camp Wisdom Rd #1044, Dallas, TX 75237, USA",cell_phone_store,32.6592729,-96.8774227,(972) 572-6600 ext. 5,,False,,,,,ChIJ-zzo9vmRToYRqDbv6iNENLc
Labaik Jewelers,"3662 W Camp Wisdom Rd #1046, Dallas, TX 75237, USA",jewelry_store,32.6592701,-96.87717549999999,(972) 807-2953,,False,,,,,ChIJG9F6TgeRToYRH8vfLL6d4ew
Kids For Less,"3662 W Camp Wisdom Rd #2066, Dallas, TX 75237, USA",clothing_store,32.6592608,-96.8770266,(972) 298-6392,http://www.kidsforless.com/,False,,,,,ChIJQ3vOZqqRToYRORtcidi0mfI
ecoATM,"3662 W Camp Wisdom Rd, Dallas, TX 75237, USA",,32.6593203,-96.87720639999999,(858) 324-4111,http://locations.ecoatm.com/tx/dallas/sell-my-phone-dallas-tx-4231?utm_source=google&utm_medium=local&utm_campaign=google-local,False,,,,,ChIJmU90TgeRToYRFdXL9oWbV3s
G2 Fashion Inc,"2034 SW Center Mall, Dallas, TX 75237, USA",clothing_store,32.6593391,-96.8772924,(972) 283-5803,,False,,,,,ChIJq8kQwgaRToYRFfNRTF66pJg
Gold Plaza,"3662 W Camp Wisdom Rd K1044, Dallas, TX 75237, USA",jewelry_store,32.6594444,-96.8774078,(972) 780-0656,,False,,,,,ChIJNfC_LaiRToYR-wxdKfC6YcA
G III,"3550 W Camp Wisdom Rd, Dallas, TX 75237, USA",clothing_store,32.6594323,-96.87728709999999,,,False,,,,,ChIJmbuNTQeRToYR1NDHBrkYpSA
Fashion Line Image,"3662 W Camp Wisdom Rd #2039, Dallas, TX 75237, USA",womens_clothing_store,32.6594365,-96.87841910000002,(972) 283-5500,,False,,,,,ChIJpXvOZqqRToYRjfdBYSo721M
UNINHIBITED ME CLOTHING STORE,"3662 W Camp Wisdom Rd #1031, Dallas, TX 75237, USA",clothing_store,32.6595275,-96.87817009999999,,,False,,,,,ChIJmyoETQeRToYRy3_2YvIVyMU
We fix phones,"3662 W Camp Wisdom Rd, Dallas, TX 75237, USA",cell_phone_store,32.659264,-96.8792916,(945) 244-7142,,False,,,,,ChIJ0-VStqCRToYRsyAjkrtFhyg
Cell Phone Accessories,"3662 W Camp Wisdom Rd C1050, Dallas, TX 75237, USA",cell_phone_store,32.65949,-96.87710249999999,(214) 545-7553,,False,,,,,ChIJH7ONTQeRToYRL_ijAId5yms
Addikted2kicks,"3662 W Camp Wisdom Rd #1033, Dallas, TX 75237, USA",shoe_store,32.659571,-96.8780974,(972) 904-2637,https://www.instagram.com/a2k_dallas?igsh=bng1cDFvNjF4emxo&utm_source=qr,False,,,,,ChIJu_oixeaRToYRocHfRe5KU1k
"Spearman Legal Firm, P.C.","3560 W Camp Wisdom Rd Ste 200, Dallas, TX 75237, USA",lawyer,32.6587566,-96.8774576,(214) 888-8253,http://spearmanlegal.com/,False,,,,,ChIJLXYjjFaRToYRQxCHFAf1saM
Braids BY ARI,"3662 W Camp Wisdom Rd #1018, Dallas, TX 75237, USA",hair_salon,32.6587798,-96.8788915,(832) 365-5710,https://braidsbyari610.booksy.com/,False,,,,,ChIJH13sfrmRToYREhVfu0FnrQw
Radiance Pediatrics,"3560 W Camp Wisdom Rd Ste 200, Dallas, TX 75237, USA",doctor,32.6587566,-96.8774576,(469) 431-2627,http://www.radiancepeds.com/,False,,,,,ChIJAQB07amRToYRz9V7gj3n6ko
"Tonya P. McDonald, MD","3662 W Camp Wisdom Rd #2044, Dallas, TX 75237, USA",doctor,32.6588084,-96.8791868,(469) 431-2627,http://www.radiancepeds.com/,False,,,,,ChIJP42Zaj-RToYRTOX8h4QFbSg
Margaret Gavor MD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598718,-96.87581949999999,(214) 214-5830,https://utswmed.org/doctors/margaret-gavor/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJJYhh9VSRToYRa0b9Df6Z7OE
Edward Kramer,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598718,-96.87581949999999,(214) 214-5820,https://utswmed.org/doctors/edward-kramer/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJl7KMUdORToYRCJ50ywnYmLY
Nicole Johnson MD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598718,-96.87581949999999,(214) 214-5830,https://utswmed.org/doctors/nicole-johnson/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJX8M4s_6RToYR_jxJX1PmtfE
Molin Shi PhD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598718,-96.87581949999999,(214) 645-4673,https://utswmed.org/doctors/molin-shi/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJZ-pJ7nKRToYR_LKnp-eSRpk
Maral Misserian PhD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598718,-96.87581949999999,(214) 214-5810,https://utswmed.org/doctors/maral-misserian/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJqRLJvAmRToYRzhCfzy2CSII
Benjamin Miller MD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598718,-96.87581949999999,(214) 214-5800,https://utswmed.org/doctors/benjamin-miller/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJ7Sqbc-aRToYRL5dbADqHwmQ
Aitua Salami MD MPH,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598705,-96.875764,(214) 645-7700,https://utswmed.org/doctors/aitua-salami/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJW9sD5rmRToYRYwLBm-oPB5Y
John Waters MD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598705,-96.875764,(214) 645-7700,https://utswmed.org/doctors/john-waters/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJnfNOypKRToYRbXu2-XYM5QE
Scott Reznik MD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598705,-96.875764,(214) 645-7700,https://utswmed.org/doctors/scott-reznik/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJr3OlAw2RToYR4NEPr0keNlE
Inderpal S. Sarkaria MD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598705,-96.875764,(214) 645-7700,https://utswmed.org/doctors/inderpal-sarkaria/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJt4pNYl-RToYRVyDgAgr6eFM
Dr. Henry Han,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598705,-96.875764,(214) 214-5810,https://utswmed.org/doctors/henry-han/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJ4QRLeEqRToYRcCabUgJW7I0
Jaclyn Albin MD,"3450 W Camp Wisdom Rd, Dallas, TX 75237, USA",doctor,32.6598705,-96.875764,(214) 214-5840,https://utswmed.org/doctors/jaclyn-albin/?utm_medium=organic&utm_source=google&utm_campaign=gbp&utm_content=website,False,,,,,ChIJe59CMHWRToYRWzZOOv5skvM
